,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,3567.107038,0.0,0.0,0.0,-14.874860793436188,-63.37430396718095,-30.119665904246855,16.0,76.0,73.0,21.0,21.0,20.0,9.0,9.0,9.0,88.0,0.0
1,3567.254118,0.0,0.0,0.0,-12.176710987975667,-51.588657024691805,-24.233141636804437,18.0,75.0,75.0,29.0,29.0,27.0,9.0,9.0,9.0,88.0,0.0
2,3567.401444,0.0,0.0,0.0,-10.082317442878278,-41.93792986260857,-19.517072744367567,17.0,76.0,74.0,35.0,35.0,33.0,9.0,9.0,9.0,89.0,0.0
3,3567.547842,0.0,0.0,0.0,-8.72663331168392,-34.07021981034852,-15.938586529061354,15.0,76.0,71.0,40.0,41.0,39.0,9.0,9.0,9.0,88.0,0.0
4,3567.69421,0.0,0.0,0.0,-7.536203544526582,-28.29813380807049,-12.615655676476909,16.0,72.0,77.0,44.0,45.0,43.0,9.0,9.0,9.0,87.0,0.0
5,3567.84024,0.0,0.0,0.0,-6.379512191713915,-23.43223818054817,-10.280400888898534,17.0,74.0,71.0,48.0,48.0,47.0,9.0,9.0,9.0,90.0,0.0
6,3567.988624,0.0,0.0,0.0,-5.4070018939930256,-19.25522377203565,-8.329801424629878,17.0,75.0,73.0,51.0,51.0,50.0,9.0,9.0,9.0,88.0,0.0
7,3568.146776,0.0,0.0,0.0,-4.46265340406173,-15.829462189455143,-6.090289934041508,18.0,75.0,81.0,53.0,54.0,52.0,9.0,9.0,9.0,90.0,0.0
8,3568.297259,0.0,0.0,0.0,-3.8172725776601384,-13.202251332495827,-4.448143524529606,17.0,74.0,77.0,56.0,56.0,54.0,9.0,9.0,9.0,88.0,0.0
9,3568.443666,0.0,0.0,0.0,-3.481857542228762,-10.791250995701134,-2.8731818104070372,16.0,76.0,81.0,57.0,57.0,56.0,9.0,9.0,9.0,89.0,0.0
10,3568.58991,0.0,0.0,0.0,-3.08712015834469,-8.45538321736015,-1.9137684839035218,17.0,78.0,76.0,58.0,58.0,57.0,9.0,9.0,9.0,87.0,0.0
11,3568.736333,0.0,0.0,0.0,-2.732454314020205,-6.647329077341141,-0.9085289065300701,17.0,77.0,80.0,59.0,59.0,58.0,9.0,9.0,9.0,88.0,0.0
12,3568.885288,0.0,0.0,0.0,-2.2898558195493157,-5.988209923443392,-0.1790130811779891,18.0,72.0,78.0,60.0,60.0,59.0,9.0,9.0,9.0,88.0,0.0
13,3569.048431,0.0,0.0,0.0,-2.207128064843036,-5.463678288828959,0.14686800482858597,16.0,73.0,75.0,61.0,61.0,60.0,9.0,9.0,9.0,90.0,0.0
14,3569.198988,0.0,0.0,0.0,-1.8970569617917414,-4.846120483101856,0.052072784672207995,18.0,74.0,71.0,61.0,62.0,61.0,9.0,9.0,9.0,89.0,0.0
15,3569.34564,0.0,0.0,0.0,-1.732477361675262,-4.1563345917435015,0.14203848399484809,17.0,75.0,74.0,62.0,62.0,61.0,9.0,9.0,9.0,86.0,0.0
16,3569.494813,0.0,0.0,0.0,-1.6330878217289642,-3.7184461022656166,0.26637183105273277,17.0,74.0,74.0,62.0,63.0,62.0,9.0,9.0,9.0,89.0,0.0
17,3569.641066,0.0,0.0,0.0,-1.396925019741126,-3.396664157792756,-0.020905479011720907,18.0,74.0,69.0,63.0,63.0,62.0,9.0,9.0,9.0,87.0,0.0
18,3569.787462,0.0,0.0,0.0,-1.1716748364012166,-3.1347172137757866,-0.027621911801529286,18.0,74.0,73.0,63.0,63.0,62.0,9.0,9.0,9.0,88.0,0.0
19,3569.958365,0.0,0.0,0.0,-1.1443160528403316,-3.2318364033714317,0.035023412070674276,17.0,72.0,73.0,63.0,64.0,63.0,9.0,9.0,9.0,85.0,0.0
20,3570.113235,0.0,0.0,0.0,-1.310463490977377,-2.9122834957973964,-0.14760321360866602,16.0,75.0,70.0,63.0,64.0,63.0,9.0,9.0,9.0,88.0,0.0
21,3570.259502,0.0,0.0,0.0,-1.32309105182927,-2.551624325051293,-0.5010997944688471,17.0,75.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,88.0,0.0
22,3570.405958,0.0,0.0,0.0,-0.9893597811161254,-2.1052722491898663,-0.27808486991229575,19.0,76.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,86.0,0.0
