,0,1,2,3,4
0,66.0,66.0,66.0,66.0,66.0
1,66.0,66.0,66.0,66.0,66.0
2,66.0,66.0,66.0,66.0,66.0
3,66.0,66.0,66.0,66.0,66.0
4,66.0,66.0,66.0,66.0,66.0
5,66.0,66.0,66.0,66.0,66.0
6,66.0,66.0,66.0,66.0,66.0
7,66.0,66.0,66.0,66.0,66.0
8,66.0,66.0,66.0,66.0,66.0
9,66.0,66.0,66.0,66.0,66.0
10,66.0,66.0,66.0,66.0,66.0
11,66.0,66.0,66.0,66.0,66.0
12,66.0,66.0,66.0,66.0,66.0
13,66.0,66.0,66.0,66.0,66.0
14,66.0,66.0,66.0,66.0,66.0
15,66.0,66.0,66.0,66.0,66.0
16,66.0,66.0,66.0,66.0,66.0
17,66.0,66.0,66.0,66.0,66.0
18,66.0,66.0,66.0,66.0,66.0
19,66.0,66.0,66.0,66.0,66.0
20,66.0,66.0,66.0,66.0,66.0
21,66.0,66.0,66.0,66.0,66.0
22,66.0,66.0,66.0,66.0,66.0
23,66.0,66.0,66.0,66.0,66.0
24,66.0,66.0,66.0,66.0,66.0
25,66.0,66.0,66.0,66.0,66.0
26,66.0,66.0,66.0,66.0,66.0
27,66.0,66.0,66.0,66.0,66.0
28,66.0,66.0,66.0,66.0,66.0
29,66.0,66.0,66.0,66.0,66.0
30,0.0,0.0,66.0,66.0,66.0
31,0.16,0.16,66.05601585171797,66.0,66.0
32,0.32,0.32,66.22249451905007,66.0,66.0
33,0.48,0.48,66.49477327982454,66.0,66.0
34,0.64,0.64,66.86522617069664,66.0,66.0
35,0.8,0.8,67.32347757456456,66.0054818609817,66.0
36,0.96,0.96,67.85669282008402,66.096332952245,66.0
37,1.12,1.12,68.44993765419159,66.29651766076002,66.0
38,1.28,1.28,69.08659651955738,66.60042922805255,66.0
39,1.44,1.44,69.74883792188274,66.99955572147816,66.0
40,1.6,1.6,70.41811385307061,67.48271843580065,66.02191241852691
41,1.76,1.76,71.07567928246107,68.03638498553944,66.14734973280937
42,1.92,1.92,71.70311716626028,68.64504831901884,66.38069179013593
43,2.08,2.08,72.28285427073773,69.29166103872167,66.71540316346518
44,2.24,2.24,72.79865336205346,69.95811286353502,67.14210928146879
45,2.4,2.4,73.23606797749979,70.62573786016092,67.6488589908301
46,2.56,2.56,73.58284704095765,71.27583723719228,68.22145928326029
47,2.72,2.72,73.82927799012828,71.89020305947622,68.84387281222212
48,2.88,2.88,73.96845880525791,72.4516282146119,69.49866706574278
49,3.04,3.04,73.99649132039544,72.94438834847894,70.1675026149168
50,3.2,3.2,73.91259040293522,73.3546822717817,70.83164676327104
51,3.36,3.36,73.719105943553,73.67101850273592,71.4724982107387
52,3.52,3.52,73.42145704064203,73.88453711963854,72.07210803749253
53,3.68,3.68,73.02798022260703,73.98925790889783,72.61368241596043
54,3.84,3.84,72.54969595899476,73.98224785841232,73.08205297110315
55,4.0,4.0,72.0,73.86370330515628,73.46410161513775
56,4.16,4.16,71.39428818928727,73.63694443618827,73.74912795796757
57,4.32,4.32,70.7495252583429,73.30832229709824,73.92914900291476
58,4.48,4.48,70.08376967953343,72.88704091239345,73.99912273389938
59,4.64,4.64,69.41566788575035,72.38489949986247,73.95708933185196
60,4.8,4.8,68.76393202250021,71.81596199895819,73.80422606518061
61,4.96,4.96,68.14681585952056,71.19616316902435,73.54481431692486
62,5.12,5.12,67.5816035405505,70.54286228973722,73.18611967209678
63,5.28,5.28,67.08412549031435,69.87435696368749,72.73818842371476
64,5.44,5.44,66.6683150371596,69.20937063848349,72.21356619697337
65,5.6000000000000005,5.6000000000000005,66.34581816942959,68.5665282018188,71.6269465723032
66,5.76,5.76,66.12566735548548,67.96383433699852,70.99475954865942
67,5.92,5.92,66.01402856300199,67.4181692491042,70.33471137332927
68,6.08,6.08,66.0,66.94481588546144,69.66528862667074
69,6.24,6.24,66.0,66.55703189198422,69.00524045134058
70,6.4,6.4,66.0,66.2656782940112,68.3730534276968
71,6.5600000000000005,6.5600000000000005,66.0,66.0789153015131,67.78643380302663
72,6.72,6.72,66.0,66.00197375853708,67.26181157628524
73,6.88,6.88,66.0,66.0,66.81388032790322
74,7.04,7.04,66.0,66.0,66.45518568307514
75,7.2,7.2,66.0,66.0,66.19577393481939
76,7.36,7.36,66.0,66.0,66.04291066814805
77,7.5200000000000005,7.5200000000000005,66.0,66.0,66.0
78,7.68,7.68,66.0,66.0,66.0
79,7.84,7.84,66.0,66.0,66.0
80,66.0,66.0,66.0,66.0,66.0
81,66.0,66.0,66.0,66.0,66.0
82,66.0,66.0,66.0,66.0,66.0
83,66.0,66.0,66.0,66.0,66.0
84,66.0,66.0,66.0,66.0,66.0
85,66.0,66.0,66.0,66.0,66.0
86,66.0,66.0,66.0,66.0,66.0
