xHistory,x_Tof_History_1,x_Tof_History_2,uHistory,tHistory,rHistory,JHistory
1.0692720474399446,1.0692720474399446,1.1106846844964333,30.0,0.1,-1000.0,0.0
1.138205785875813,1.138205785875813,1.2303684483318167,30.0,0.2,-1000.0,0.0
1.2167323776526981,1.2167323776526981,1.3613133120834646,30.0,0.30000000000000004,-1000.0,0.0
1.3168659996795389,1.3168659996795389,1.5197945613348902,30.0,0.4,-1000.0,0.0
1.4349895227851512,1.4349895227851512,1.7117319978768082,30.0,0.5,-1000.0,0.0
1.5817019790253557,1.5817019790253557,1.950707458940359,30.0,0.6,-1000.0,0.0
1.7586072369174328,1.7586072369174328,2.240533884242174,30.0,0.7,-1000.0,0.0
1.9727411096522296,1.9727411096522296,2.5909296363289007,30.0,0.7999999999999999,-1000.0,0.0
2.2316198753620715,2.2316198753620715,3.0097600559048874,30.0,0.8999999999999999,-1000.0,0.0
2.53322027959979,2.53322027959979,3.5046163459008732,30.0,0.9999999999999999,-1000.0,0.0
2.882703839417228,2.882703839417228,4.074623055549909,30.0,1.0999999999999999,-1000.0,0.0
3.2807850024703105,3.2807850024703105,4.725282093614163,30.0,1.2,-1000.0,0.0
3.727370275162556,3.727370275162556,5.45171262980651,30.0,1.3,-1000.0,0.0
4.227449761364425,4.227449761364425,6.260994478759026,30.0,1.4000000000000001,-1000.0,0.0
4.77741092186256,4.77741092186256,7.154092995122695,30.0,1.5000000000000002,-1000.0,0.0
5.376578024148171,5.376578024148171,8.127059313654472,30.0,1.6000000000000003,-1000.0,0.0
6.021095976541318,6.021095976541318,9.169599756854481,30.0,1.7000000000000004,-1000.0,0.0
6.708725780735478,6.708725780735478,10.286577886137026,30.0,1.8000000000000005,-1000.0,0.0
7.435220276140651,7.435220276140651,11.46661459349127,30.0,1.9000000000000006,-1000.0,0.0
8.199805161434545,8.199805161434545,12.705742176210878,30.0,2.0000000000000004,-1000.0,0.0
8.993346262979752,8.993346262979752,13.99310683777147,30.0,2.1000000000000005,-1000.0,0.0
9.811653322739971,9.811653322739971,15.32088549596412,30.0,2.2000000000000006,-1000.0,0.0
10.650005580741103,10.650005580741103,16.678296689883005,30.0,2.3000000000000007,-1000.0,0.0
11.502760494990824,11.502760494990824,18.056987945016836,30.0,2.400000000000001,-1000.0,0.0
12.359927430781132,12.359927430781132,19.447433192643906,30.0,2.500000000000001,-1000.0,0.0
13.214358324532576,13.214358324532576,20.84071415694216,30.0,2.600000000000001,-1000.0,0.0
14.06647532173047,14.06647532173047,22.220515834060606,30.0,2.700000000000001,-1000.0,0.0
14.907227394502758,14.907227394502758,23.581152725562735,30.0,2.800000000000001,-1000.0,0.0
15.725654636840305,15.725654636840305,24.911854110652136,30.0,2.9000000000000012,-1000.0,0.0
16.51949037254995,16.51949037254995,26.203129601195286,30.0,3.0000000000000013,-1000.0,0.0
17.283756605773778,17.283756605773778,27.446136636226996,30.0,3.1000000000000014,-1000.0,0.0
18.01406633952785,18.01406633952785,28.632072800804124,30.0,3.2000000000000015,-1000.0,0.0
18.70194351430086,18.70194351430086,29.754531320298607,30.0,3.3000000000000016,-1000.0,0.0
19.347974038584372,19.347974038584372,30.806606937422103,30.0,3.4000000000000017,-1000.0,0.0
19.944999821967983,19.944999821967983,31.787020467779023,30.0,3.5000000000000018,-1000.0,0.0
20.49382789555054,20.49382789555054,32.688296823875405,30.0,3.600000000000002,-1000.0,0.0
20.994777140647326,20.994777140647326,33.50962558671363,30.0,3.700000000000002,-1000.0,0.0
21.441906406632818,21.441906406632818,34.24700430072806,30.0,3.800000000000002,-1000.0,0.0
21.8397180428971,21.8397180428971,34.90598343297756,30.0,3.900000000000002,-1000.0,0.0
22.1880378380898,22.1880378380898,35.4844508885666,30.0,4.000000000000002,-1000.0,0.0
22.488163387319325,22.488163387319325,35.98698126945892,30.0,4.100000000000001,-1000.0,0.0
22.74154277669517,22.74154277669517,36.41338471222906,30.0,4.200000000000001,-1000.0,0.0
22.9538620665285,22.9538620665285,36.77656388985613,30.0,4.300000000000001,-1000.0,0.0
23.129627175024453,23.129627175024453,37.07395626617164,30.0,4.4,-1000.0,0.0
23.272241656355664,23.272241656355664,37.32274412760201,30.0,4.5,-1000.0,0.0
23.386914131987556,23.386914131987556,37.52513388333896,30.0,4.6,-1000.0,0.0
23.478708726141583,23.478708726141583,37.691738811332925,30.0,4.699999999999999,-1000.0,0.0
23.55543519181391,23.55543519181391,37.832934045731584,30.0,4.799999999999999,-1000.0,0.0
23.622185948634968,23.622185948634968,37.959557836719895,30.0,4.899999999999999,-1000.0,0.0
23.6860796595864,23.6860796595864,38.07754610072927,30.0,4.999999999999998,-1000.0,0.0
23.679373009784612,23.679373009784612,38.0844823880707,30.0,5.099999999999998,-1000.0,0.0
23.676360708559915,23.676360708559915,38.08624242740338,30.0,5.1999999999999975,-1000.0,0.0
23.671335592004553,23.671335592004553,38.09233355749222,30.0,5.299999999999997,-1000.0,0.0
23.660595577899905,23.660595577899905,38.09886806831214,30.0,5.399999999999997,-1000.0,0.0
23.655866937619855,23.655866937619855,38.103694741004915,30.0,5.4999999999999964,-1000.0,0.0
23.65163556050494,23.65163556050494,38.10693678923114,30.0,5.599999999999996,-1000.0,0.0
23.64686120003887,23.64686120003887,38.1116718109287,30.0,5.699999999999996,-1000.0,0.0
23.64296876680205,23.64296876680205,38.118908859489785,30.0,5.799999999999995,-1000.0,0.0
23.635673477184923,23.635673477184923,38.12145426307334,30.0,5.899999999999995,-1000.0,0.0
