xHistory,uHistory,tHistory,rHistory,JHistory
[54.42136255 54.43039228 54.94940525],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.3000000000000016,[[-1000. -1000. -1000.]],0.0
[54.42136608 54.43000266 54.94991018],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.4000000000000017,[[-1000. -1000. -1000.]],0.0
[54.4213791  54.42962609 54.95032678],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.5000000000000018,[[-1000. -1000. -1000.]],0.0
[54.42139997 54.42926528 54.95066426],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.600000000000002,[[-1000. -1000. -1000.]],0.0
[54.42142722 54.42892227 54.95093133],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.700000000000002,[[-1000. -1000. -1000.]],0.0
[54.42145952 54.42859856 54.95113618],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.800000000000002,[[-1000. -1000. -1000.]],0.0
[54.42149567 54.42829513 54.95128643],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",3.900000000000002,[[-1000. -1000. -1000.]],0.0
[54.42153463 54.42801255 54.95138917],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.000000000000002,[[-1000. -1000. -1000.]],0.0
[54.42157549 54.42775105 54.95145092],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.100000000000001,[[-1000. -1000. -1000.]],0.0
[54.42161743 54.42751052 54.95147765],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.200000000000001,[[-1000. -1000. -1000.]],0.0
[54.42165978 54.42729061 54.9514748 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.300000000000001,[[-1000. -1000. -1000.]],0.0
[54.42170195 54.42709076 54.9514473 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.4,[[-1000. -1000. -1000.]],0.0
[54.42174345 54.42691025 54.95139957],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.5,[[-1000. -1000. -1000.]],0.0
[54.42178389 54.42674823 54.95133558],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.6,[[-1000. -1000. -1000.]],0.0
[54.42182292 54.42660375 54.95125884],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.699999999999999,[[-1000. -1000. -1000.]],0.0
[54.4218603  54.42647577 54.95117246],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.799999999999999,[[-1000. -1000. -1000.]],0.0
[54.42189583 54.42636324 54.95107914],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.899999999999999,[[-1000. -1000. -1000.]],0.0
[54.42192937 54.42626506 54.95098124],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",4.999999999999998,[[-1000. -1000. -1000.]],0.0
[54.42196082 54.42618015 54.95088079],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.099999999999998,[[-1000. -1000. -1000.]],0.0
[54.42199013 54.42610741 54.95077952],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.1999999999999975,[[-1000. -1000. -1000.]],0.0
[54.42201729 54.42604578 54.95067887],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.299999999999997,[[-1000. -1000. -1000.]],0.0
[54.4220423  54.42599422 54.95058004],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.399999999999997,[[-1000. -1000. -1000.]],0.0
[54.42206519 54.42595175 54.95048403],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.4999999999999964,[[-1000. -1000. -1000.]],0.0
[54.42208604 54.42591741 54.9503916 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.599999999999996,[[-1000. -1000. -1000.]],0.0
[54.4221049  54.42589032 54.95030337],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.699999999999996,[[-1000. -1000. -1000.]],0.0
[54.42212187 54.42586963 54.95021979],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.799999999999995,[[-1000. -1000. -1000.]],0.0
[54.42213705 54.42585455 54.95014117],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.899999999999995,[[-1000. -1000. -1000.]],0.0
[54.42215053 54.42584435 54.95006773],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",5.999999999999995,[[-1000. -1000. -1000.]],0.0
[54.42216242 54.42583837 54.94999956],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.099999999999994,[[-1000. -1000. -1000.]],0.0
[54.42217283 54.42583599 54.94993667],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.199999999999994,[[-1000. -1000. -1000.]],0.0
[54.42218187 54.42583665 54.94987901],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.299999999999994,[[-1000. -1000. -1000.]],0.0
[54.42218966 54.42583983 54.94982646],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.399999999999993,[[-1000. -1000. -1000.]],0.0
[54.4221963  54.42584508 54.94977888],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.499999999999993,[[-1000. -1000. -1000.]],0.0
[54.42220189 54.425852   54.94973604],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.5999999999999925,[[-1000. -1000. -1000.]],0.0
[54.42220654 54.42586022 54.94969774],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.699999999999992,[[-1000. -1000. -1000.]],0.0
[54.42221034 54.42586942 54.94966372],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.799999999999992,[[-1000. -1000. -1000.]],0.0
[54.42221338 54.42587932 54.94963371],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.8999999999999915,[[-1000. -1000. -1000.]],0.0
[54.42221575 54.42588968 54.94960745],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",6.999999999999991,[[-1000. -1000. -1000.]],0.0
[54.42221754 54.42590028 54.94958465],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.099999999999991,[[-1000. -1000. -1000.]],0.0
[54.4222188  54.42591096 54.94956505],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.19999999999999,[[-1000. -1000. -1000.]],0.0
[54.42221962 54.42592156 54.94954838],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.29999999999999,[[-1000. -1000. -1000.]],0.0
[54.42222005 54.42593196 54.94953435],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.39999999999999,[[-1000. -1000. -1000.]],0.0
[54.42222016 54.42594205 54.94952274],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.499999999999989,[[-1000. -1000. -1000.]],0.0
[54.42222    54.42595176 54.94951328],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.599999999999989,[[-1000. -1000. -1000.]],0.0
[54.42221961 54.42596102 54.94950574],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.699999999999989,[[-1000. -1000. -1000.]],0.0
[54.42221903 54.4259698  54.94949991],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.799999999999988,[[-1000. -1000. -1000.]],0.0
[54.42221831 54.42597804 54.94949559],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.899999999999988,[[-1000. -1000. -1000.]],0.0
[54.42221748 54.42598575 54.94949257],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",7.999999999999988,[[-1000. -1000. -1000.]],0.0
[54.42221656 54.4259929  54.94949069],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.099999999999987,[[-1000. -1000. -1000.]],0.0
[54.42221559 54.42599949 54.94948979],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.199999999999987,[[-1000. -1000. -1000.]],0.0
[54.42221458 54.42600553 54.94948971],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.299999999999986,[[-1000. -1000. -1000.]],0.0
[54.42221355 54.42601104 54.94949031],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.399999999999986,[[-1000. -1000. -1000.]],0.0
[54.42221253 54.42601602 54.94949149],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.499999999999986,[[-1000. -1000. -1000.]],0.0
[54.42221151 54.42602051 54.94949313],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.599999999999985,[[-1000. -1000. -1000.]],0.0
[54.42221053 54.42602452 54.94949514],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.699999999999985,[[-1000. -1000. -1000.]],0.0
[54.42220957 54.42602809 54.94949742],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.799999999999985,[[-1000. -1000. -1000.]],0.0
[54.42220865 54.42603123 54.9494999 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.899999999999984,[[-1000. -1000. -1000.]],0.0
[54.42220778 54.42603398 54.94950253],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",8.999999999999984,[[-1000. -1000. -1000.]],0.0
[54.42220696 54.42603637 54.94950523],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.099999999999984,[[-1000. -1000. -1000.]],0.0
[54.42220619 54.42603842 54.94950797],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.199999999999983,[[-1000. -1000. -1000.]],0.0
[54.42220547 54.42604017 54.9495107 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.299999999999983,[[-1000. -1000. -1000.]],0.0
[54.42220481 54.42604163 54.94951339],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.399999999999983,[[-1000. -1000. -1000.]],0.0
[54.4222042  54.42604285 54.94951601],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.499999999999982,[[-1000. -1000. -1000.]],0.0
[54.42220364 54.42604384 54.94951854],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.599999999999982,[[-1000. -1000. -1000.]],0.0
[54.42220313 54.42604463 54.94952096],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.699999999999982,[[-1000. -1000. -1000.]],0.0
[54.42220268 54.42604524 54.94952326],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.799999999999981,[[-1000. -1000. -1000.]],0.0
[54.42220227 54.4260457  54.94952543],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.89999999999998,[[-1000. -1000. -1000.]],0.0
[54.4222019  54.42604601 54.94952745],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",9.99999999999998,[[-1000. -1000. -1000.]],0.0
[54.42220158 54.42604621 54.94952934],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.09999999999998,[[-1000. -1000. -1000.]],0.0
[54.42220129 54.42604631 54.94953108],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.19999999999998,[[-1000. -1000. -1000.]],0.0
[54.42220105 54.42604632 54.94953268],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",10.29999999999998,[[-1000. -1000. -1000.]],0.0
