,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
29,1338.039673,0.0,0.0,0.0,-0.2889774506904357,-4.032395714727386,-0.22835246646003515,19.0,72.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,8.0,0.0
30,1338.186019,0.0,0.0,0.0,-0.08388085927168065,-3.7150165708019216,-0.3608438421405795,19.0,74.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
31,1338.332679,0.0,0.0,0.0,-0.2280170409145197,-3.2367367670576925,-0.6741792633199823,17.0,75.0,68.0,65.0,65.0,64.0,9.0,9.0,9.0,11.0,0.0
32,1338.479036,0.0,0.0,0.0,-0.4117411278453891,-3.126321364957775,-0.5737242277034627,17.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
33,1338.625732,0.0,0.0,0.0,-0.5597701518880354,-2.9489214175267904,-0.6406720303298785,17.0,74.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,10.0,0.0
34,1338.785064,0.0,0.0,0.0,-0.6798597592920186,-3.390405311356062,-0.5139222762122317,17.0,70.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,8.0,0.0
35,1338.936852,0.0,0.0,0.0,-0.7774460306968618,-3.417584954140395,-0.5153519548875325,17.0,73.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
36,1339.083279,0.0,0.0,0.0,-0.8567219236620187,-3.492515761806658,-0.4730393084765838,17.0,72.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,8.0,0.0
37,1339.235049,0.0,0.0,0.0,-0.6111062653426491,-3.2781196185988506,-0.34406202139242215,19.0,74.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,8.0,0.0
38,1339.384038,0.0,0.0,0.0,-0.18999966846883298,-3.502113126714576,-0.3778485838162995,20.0,71.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
