,u0,u1,u2,x_fil0,x_fil1,x_fil2
0,10.0,10.0,10.0,2.858421173095703,-1.1872676849365236,0.7744824218749999
1,10.0,10.0,10.0,2.0463214111328125,-0.9659619903564454,0.67337158203125
2,10.0,10.0,10.0,1.4452003479003905,-0.9974960327148438,0.55513916015625
3,10.0,10.0,10.0,0.8443209838867187,-1.061530227661133,0.50943115234375
4,10.0,10.0,10.0,0.22077957153320316,-1.1137410736083986,0.37998291015624996
5,10.0,10.0,10.0,-0.19243820190429672,-1.1560301208496095,0.25664794921875
6,10.0,10.0,10.0,-0.8506497192382811,-1.2966988372802735,0.4100341796875
7,10.0,10.0,10.0,-1.1041551208496094,-1.0049335479736328,0.47860595703125
8,10.0,10.0,10.0,-1.1353041076660157,-0.9044938659667969,0.36417968749999996
9,10.0,10.0,10.0,-1.1396752929687501,-1.0728577423095704,0.19292480468749995
10,10.0,10.0,10.0,-1.2576217651367188,-1.0356548309326172,0.14610595703124996
11,10.0,10.0,10.0,-1.259759979248047,-0.7549154663085937,0.02470947265625001
12,10.0,10.0,10.0,-1.3554151916503905,-0.5946638488769531,0.21255859374999997
13,10.0,10.0,10.0,-1.5675900268554686,-0.6958856201171876,0.21643798828124994
14,10.0,10.0,10.0,-1.8748817443847656,-0.8163580322265626,-0.019326171874999964
15,10.0,10.0,10.0,-1.8024914550781248,-0.5955737304687501,-0.04463378906249993
16,10.0,10.0,10.0,-1.9109169006347657,-0.5715589904785157,0.07254150390625003
17,10.0,10.0,10.0,-1.8110443115234376,-0.37715103149414064,0.28776611328125
18,10.0,10.0,10.0,-1.8037548828125,-0.2878599548339844,0.27775878906249996
19,10.0,10.0,10.0,-1.817813262939453,-0.3401372528076172,0.2841650390625
20,10.0,10.0,10.0,-1.7153286743164062,-0.18932693481445315,0.2474267578125
21,10.0,10.0,10.0,-1.7257244873046873,-0.13505096435546876,0.1579443359375
22,10.0,10.0,10.0,-1.8686744689941404,-0.0033532714843750003,0.17755371093749994
23,10.0,10.0,10.0,-1.891263732910156,0.016152954101562502,0.26237304687499996
24,10.0,10.0,10.0,-2.0034561157226562,0.013234176635742188,0.23900146484374996
25,10.0,10.0,10.0,-1.8864640808105468,-0.4144255065917969,0.303359375
26,10.0,10.0,10.0,-1.8649789428710934,-0.20026084899902344,0.22140869140624997
27,10.0,10.0,10.0,-1.981806182861328,-0.5503556823730469,0.3815625
28,10.0,10.0,10.0,-1.9832508850097654,-0.20399238586425783,0.30306152343750004
29,10.0,10.0,10.0,-2.0782469177246092,0.20930854797363282,0.19428466796875
30,10.0,10.0,10.0,-0.11996826171874986,0.4402548980712891,0.05466064453124997
31,10.0,10.0,10.0,1.9531106567382812,0.3958853912353516,-0.21998291015625004
32,10.0,10.0,10.0,1.7193778991699218,0.21556015014648439,-0.064453125
33,10.0,10.0,10.0,0.838709716796875,0.4749735260009766,-0.3224438476562501
34,10.0,10.0,10.0,0.28829742431640626,0.7618213653564454,-0.25795654296875004
35,10.0,10.0,10.0,-0.003032531738281108,0.8892098999023438,-0.19359130859374996
36,10.0,10.0,10.0,-0.33337905883789065,0.8672040557861329,-0.09887207031250012
37,10.0,10.0,10.0,-0.7366514587402344,0.936554412841797,-0.01314941406249992
38,10.0,10.0,10.0,1.0848391723632813,0.7993412017822266,0.10740966796874996
39,10.0,10.0,10.0,0.7831449890136719,0.756290512084961,-0.03934326171874991
40,10.0,10.0,10.0,0.152547607421875,0.9525335693359376,-0.0516357421875
41,10.0,10.0,10.0,-0.24952865600585938,0.8314630889892579,-0.03471191406250007
42,10.0,10.0,10.0,-0.5542358398437499,0.8887651824951173,-0.22365478515625004
43,10.0,10.0,10.0,-0.6878117370605468,1.0791246795654297,-0.10909179687500004
