,0,1,2,3,4
0,66.0,66.0,66.0,66.0,66.0
1,66.0,66.0,66.0,66.0,66.0
2,66.0,66.0,66.0,66.0,66.0
3,66.0,66.0,66.0,66.0,66.0
4,66.0,66.0,66.0,66.0,66.0
5,66.0,66.0,66.0,66.0,66.0
6,66.0,66.0,66.0,66.0,66.0
7,66.0,66.0,66.0,66.0,66.0
8,66.0,66.0,66.0,66.0,66.0
9,66.0,66.0,66.0,66.0,66.0
10,66.0,66.0,66.0,66.0,66.0
11,66.0,66.0,66.0,66.0,66.0
12,66.0,66.0,66.0,66.0,66.0
13,66.0,66.0,66.0,66.0,66.0
14,66.0,66.0,66.0,66.0,66.0
15,66.0,66.0,66.0,66.0,66.0
16,66.0,66.0,66.0,66.0,66.0
17,66.0,66.0,66.0,66.0,66.0
18,66.0,66.0,66.0,66.0,66.0
19,66.0,66.0,66.0,66.0,66.0
20,66.0,66.0,66.0,66.0,66.0
21,66.0,66.0,66.0,66.0,66.0
22,66.0,66.0,66.0,66.0,66.0
23,66.0,66.0,66.0,66.0,66.0
24,66.0,66.0,66.0,66.0,66.0
25,66.0,66.0,66.0,66.0,66.0
26,66.0,66.0,66.0,66.0,66.0
27,66.0,66.0,66.0,66.0,66.0
28,66.0,66.0,66.0,66.0,66.0
29,66.0,66.0,66.0,66.0,66.0
30,0.0,0.0,66.0,66.0,66.0
31,0.16,0.16,66.03154119474209,66.0,66.0
32,0.32,0.32,66.12566735548548,66.0,66.0
33,0.48,0.48,66.280894056447,66.0,66.0
34,0.64,0.64,66.49477327982454,66.0,66.0
35,0.8,0.8,66.76393202250021,66.0030838550371,66.0
36,0.96,0.96,67.08412549031435,66.05428297129401,66.0
37,1.12,1.12,67.45030404100524,66.16770840215072,66.0
38,1.28,1.28,67.85669282008402,66.34157136080555,66.0
39,1.44,1.44,68.29688283373972,66.5731299245398,66.0
40,1.6,1.6,68.76393202250021,66.85873227647701,66.0123306650675
41,1.76,1.76,69.2504747416571,67.19387429691658,66.08310875751293
42,1.92,1.92,69.74883792188274,67.573270595992,66.21565856468982
43,2.08,2.08,70.25116207811726,67.99093786742651,66.40788969695754
44,2.24,2.24,70.7495252583429,68.44028924884725,66.65677055452691
45,2.4,2.4,71.23606797749979,68.9142382005397,66.95837613759987
46,2.56,2.56,71.70311716626028,69.40531026441231,67.3079499459609
47,2.72,2.72,72.143307179916,69.90576094066556,67.69997899182688
48,2.88,2.88,72.54969595899476,70.4076978231802,68.12828074295771
49,3.04,3.04,72.91587450968565,70.90320506747642,68.58610062488297
50,3.2,3.2,73.23606797749979,71.38446822830997,69.06621854457637
51,3.36,3.36,73.50522672017546,71.84389749814184,69.56106275563582
52,3.52,3.52,73.719105943553,72.27424740293705,70.06282926924729
53,3.68,3.68,73.87433264451452,72.6687310676184,70.56360492775033
54,3.84,3.84,73.96845880525791,73.02112724914073,71.05549219986149
55,4.0,4.0,74.0,73.32587844921018,71.53073372946037
56,4.16,4.16,73.96845880525791,73.5781785593521,71.98183467372964
57,4.32,4.32,73.87433264451452,73.77404865611277,72.40168090130354
58,4.48,4.48,73.719105943553,73.91039975105916,72.78365118636926
59,4.64,4.64,73.50522672017546,73.98508150597176,73.12172162935332
60,4.8,4.8,73.23606797749979,73.9969161449629,73.41056065741637
61,4.96,4.96,72.91587450968565,73.94571702870599,73.64561310654179
62,5.12,5.12,72.54969595899476,73.83229159784928,73.82317205919333
63,5.28,5.28,72.14330717991598,73.65842863919445,73.9404373046191
64,5.44,5.44,71.70311716626028,73.4268700754602,73.99555949984789
65,5.6000000000000005,5.6000000000000005,71.23606797749979,73.14126772352299,73.98766933493252
66,5.76,5.76,70.7495252583429,72.80612570308342,73.91689124248707
67,5.92,5.92,70.25116207811725,72.426729404008,73.78434143531018
68,6.08,6.08,69.74883792188275,72.00906213257349,73.59211030304246
69,6.24,6.24,69.2504747416571,71.55971075115275,73.34322944547309
70,6.4,6.4,68.76393202250021,71.0857617994603,73.04162386240012
71,6.5600000000000005,6.5600000000000005,68.29688283373972,70.59468973558769,72.6920500540391
72,6.72,6.72,67.85669282008402,70.09423905933444,72.30002100817312
73,6.88,6.88,67.45030404100524,69.5923021768198,71.87171925704229
74,7.04,7.04,67.08412549031435,69.09679493252358,71.41389937511703
75,7.2,7.2,66.76393202250021,68.61553177169003,70.93378145542363
76,7.36,7.36,66.49477327982454,68.15610250185814,70.43893724436418
77,7.5200000000000005,7.5200000000000005,66.280894056447,67.72575259706295,69.93717073075271
78,7.68,7.68,66.12566735548548,67.3312689323816,69.43639507224967
79,7.84,7.84,66.03154119474209,66.97887275085927,68.94450780013851
80,8.0,8.0,66.0,66.67412155078982,68.46926627053963
81,8.16,8.16,66.0,66.4218214406479,68.01816532627038
