,u0,u1,u2,x_sim0,x_sim1,x_sim2
0,40.0,40.0,40.0,54.54753239031781,54.1120665878953,55.0
1,40.0,40.0,40.0,54.5391678025185,54.163591598114095,54.95958700805378
2,40.0,40.0,40.0,54.53049424258663,54.205915199498634,54.928573581326724
3,40.0,40.0,40.0,54.52181433995642,54.24065853840054,54.90509907909334
4,40.0,40.0,40.0,54.51334441169524,54.26910865813062,54.88764726127124
5,40.0,40.0,40.0,54.50523484032894,54.292307740145986,54.87497890960616
6,40.0,40.0,40.0,54.497585610317024,54.31111345631123,54.86608028611703
7,40.0,40.0,40.0,54.49045828263071,54.32624072025426,54.86012281962831
8,40.0,40.0,40.0,54.483885298216975,54.338291222394886,54.856430964198374
9,40.0,40.0,40.0,54.47787724622144,54.34777481066166,54.85445615373519
10,40.0,40.0,40.0,54.472428560869545,54.35512535343241,54.853755412085384
11,40.0,40.0,40.0,54.46752199192844,54.36071282234471,54.853973597990844
12,40.0,40.0,40.0,54.46313210949499,54.36485275261913,54.85482854723241
13,40.0,40.0,40.0,54.459228043101504,54.367813857290756,54.856098567686914
14,40.0,40.0,40.0,54.45577561049815,54.36982431766627,54.857611876963105
15,40.0,40.0,40.0,54.452738958157035,54.37107710154034,54.85923766616911
16,40.0,40.0,40.0,54.450081810317116,54.37173454553081,54.86087854000843
17,40.0,40.0,40.0,54.44776840403395,54.37193236040207,54.86246413139599
18,40.0,40.0,40.0,54.445764172662905,54.37178316651551,54.863945723967866
19,40.0,40.0,40.0,54.44403622838773,54.37137963248226,54.86529174222254
20,40.0,40.0,40.0,54.44255368501645,54.37079726809182,54.86648398931766
21,40.0,40.0,40.0,54.44128785472657,54.37009690874757,54.86751452862984
22,40.0,40.0,40.0,54.44021234632933,54.3693269202021,54.86838311834009
23,40.0,40.0,40.0,54.43930308762443,54.3685251474337,54.86909511939117
24,40.0,40.0,40.0,54.43853829029918,54.36772062870969,54.86965980674139
25,40.0,40.0,40.0,54.43789837241469,54.366935094335446,54.870089022283054
26,40.0,40.0,40.0,54.43736585068143,54.36618426869549,54.87039611533745
27,40.0,40.0,40.0,54.43692521235677,54.36547899357399,54.87059512343254
28,40.0,40.0,40.0,54.43656277461676,54.36482619017403,54.87070015220796
29,40.0,40.0,40.0,54.43626653760129,54.36422967661744,54.870724918835755
30,40.0,40.0,40.0,54.436026035953574,54.363690856948466,54.87068242833766
31,40.0,40.0,40.0,54.4358321925319,54.36320929677862,54.87058475665395
32,40.0,40.0,40.0,54.435677177027436,54.36278319971433,54.87044291830512
33,44.0,40.0,40.0,54.435554271447415,54.3624097976321,54.87026680001549
34,44.0,40.0,40.0,54.48611587218737,54.36208566674024,54.87006514476774
35,44.0,40.0,40.0,54.529834409880266,54.36768385533735,54.86953838887605
36,44.0,40.0,40.0,54.56751857752885,54.377491374998016,54.86942061010064
37,44.0,40.0,40.0,54.599889706811965,54.39013372071618,54.87018406428025
38,61.0,40.0,40.0,54.62759403912433,54.40452612159582,54.87210080655576
39,61.0,40.0,40.0,54.866508516734164,54.419826132476345,54.87529332520877
40,88.0,44.0,40.0,55.073811399166814,54.460210519295146,54.8784697968339
41,88.0,44.0,40.0,55.59555693267532,54.51801148214459,54.884635052190156
42,88.0,44.0,40.0,56.05274723659607,54.62620981750112,54.893570312420024
43,99.0,44.0,40.0,56.45454219109813,54.76888890787373,54.91107117707214
44,105.0,44.0,40.0,56.9469128445115,54.93407517494447,54.94058114286967
45,105.0,44.0,40.0,57.45852421552834,55.12827364155919,54.983011951724464
46,105.0,44.0,40.0,57.91265414465616,55.34937814942185,55.04035644649693
47,105.0,99.0,40.0,58.314584887063575,55.588094450122554,55.114660413138
48,105.0,99.0,44.0,58.66835734522033,55.837954750839245,55.20671491739534
49,105.0,99.0,44.0,58.97719181487261,56.09451004699997,55.31649159548119
50,105.0,99.0,44.0,59.243752720911935,56.35470469812405,55.443446372450616
51,105.0,105.0,44.0,59.470327699007086,56.61642112471867,55.58672461587217
52,105.0,105.0,44.0,59.65895799825566,56.8781589099564,55.74529602839051
53,105.0,105.0,61.0,59.81153946109436,57.13881226104911,55.918040852464415
54,120.0,105.0,61.0,59.92990389961534,57.397516625793514,56.10380289594023
55,120.0,105.0,88.0,60.20585359139894,57.65354284762212,56.30142018272851
56,120.0,105.0,88.0,60.43909177531033,57.92319239322708,56.50858868355134
57,120.0,105.0,88.0,60.63051369058482,58.2044938059625,56.726249910654836
58,120.0,105.0,99.0,60.78088948247067,58.49603809741255,56.95503571604869
59,120.0,105.0,105.0,60.890978665573215,58.79689535851817,57.19535947806157
60,120.0,105.0,105.0,60.96162429287745,59.10655734203165,57.44748918385205
61,120.0,120.0,105.0,60.99383057473476,59.42490892872499,57.71160704286441
62,120.0,120.0,105.0,60.98882422360745,59.75223095029884,57.987860160136975
63,120.0,120.0,105.0,60.948097541059624,60.08923829340111,58.27640667344017
64,120.0,120.0,105.0,60.8734299125811,60.43716036495644,58.57746182073282
65,40.0,120.0,105.0,60.766883759522486,60.79787624767613,58.89134882333552
66,40.0,120.0,105.0,59.617608403212664,61.17412532221627,59.218560444153496
67,40.0,120.0,105.0,58.552054404340836,61.48983103941259,59.56598260685295
68,40.0,120.0,105.0,57.60038835073216,61.7413802568461,59.92453424904505
69,40.0,120.0,120.0,56.7790695645468,61.92129018839529,60.28534934282709
70,40.0,120.0,120.0,56.091911339619145,62.01817143643686,60.6394072495491
71,40.0,120.0,120.0,55.53286600333841,62.016703191554285,60.97718518017595
72,40.0,40.0,120.0,55.08952264077945,61.898086518232645,61.28832171744298
73,40.0,40.0,120.0,54.746412032293335,61.641623638235956,61.561339689162175
74,40.0,40.0,120.0,54.487573906401636,61.22822436806712,61.78355052757111
75,40.0,40.0,120.0,54.298213545216754,60.646502448188414,61.94134455658535
76,40.0,40.0,120.0,54.16552189941664,59.901230708058165,62.02112890727631
77,40.0,40.0,120.0,54.07884190131051,59.02186292605239,62.0111252731058
78,40.0,40.0,120.0,54.02938863977544,58.06611296881181,61.90396291712442
79,40.0,40.0,120.0,54.00973645174835,57.1127381255622,61.6994452865862
80,40.0,40.0,40.0,54.01329860020503,56.24226696872526,61.4062661893522
81,40.0,40.0,40.0,54.03400966235654,55.51378538916953,61.04141715281696
82,40.0,40.0,40.0,54.06631337025286,54.95127634742684,60.62704704340517
83,40.0,40.0,40.0,54.105374138721345,54.54636683132358,60.18606825098635
84,40.0,40.0,40.0,54.14730629994777,54.271890545024775,59.738458006110335
85,40.0,40.0,40.0,54.189257837014786,54.095795678789955,59.299405600039925
86,40.0,40.0,40.0,54.2293242581295,53.989530642412404,58.87918185287611
87,40.0,40.0,40.0,54.266363273766856,53.9309621714425,58.483960607753716
88,40.0,40.0,40.0,54.29978994544439,53.90419119504574,58.1168958034591
89,40.0,40.0,40.0,54.3293989011638,53.89825995492062,57.77908391348443
90,40.0,40.0,40.0,54.35522841510708,53.90577178467922,57.470297443101536
91,40.0,40.0,40.0,54.37746391624172,53.92177645731559,57.18949968402438
92,40.0,40.0,40.0,54.39637260516894,53.94296625078462,56.93518959676852
93,40.0,40.0,40.0,54.41226057476189,53.96712652084997,56.70562648100187
94,40.0,40.0,40.0,54.4254454611153,53.99276972388871,56.49897345461689
95,40.0,40.0,40.0,54.436239526543964,54.018894180335735,56.31338738941487
96,40.0,40.0,40.0,54.44493963406639,54.04482535200563,56.147073956780254
97,40.0,40.0,40.0,54.45182171985974,54.070111067396354,55.99832007561025
98,40.0,40.0,40.0,54.457138168186574,54.094451917684836,55.86551178041156
99,40.0,40.0,40.0,54.46111703284451,54.1176546312272,55.74714272343738
100,40.0,40.0,40.0,54.46396240891015,54.13960053579913,55.64181670349384
101,40.0,40.0,40.0,54.4658554969362,54.16022399209419,55.54824643380469
102,40.0,40.0,40.0,54.46695605949651,54.17949746516254,55.46524999496766
103,40.0,40.0,40.0,54.46740407442208,54.19742104878084,55.391745919361384
104,40.0,40.0,40.0,54.46732145835376,54.214015000934154,55.326747525951255
105,40.0,40.0,40.0,54.46681378026932,54.22931433282298,55.26935690886581
106,40.0,40.0,40.0,54.46597191525048,54.243364811680266,55.21875884059946
107,40.0,40.0,40.0,54.46487360909076,54.25621994790828,55.17421475622775
108,40.0,40.0,40.0,54.463584937809486,54.267938677037876,55.135056922345306
109,40.0,40.0,40.0,54.46216165499112,54.27858354077412,55.10068285291378
110,40.0,40.0,40.0,54.46065042561974,54.28821923444349,55.07055000681031
111,40.0,40.0,40.0,54.45908994873902,54.296911430635774,55.04417078392699
112,40.0,40.0,40.0,54.45751197352119,54.30472581743004,55.021107825055786
113,40.0,40.0,40.0,54.45594221463733,54.311727308763366,55.0009696133971
114,40.0,40.0,40.0,54.45440117350091,54.31797939725226,54.98340637092813
115,40.0,40.0,40.0,54.452904872221154,54.32354362815761,54.968106240097576
116,40.0,40.0,40.0,54.45146550709889,54.32847917859982,54.95479173972603
117,40.0,40.0,40.0,54.45009202832418,54.33284252956216,54.9432164831519
118,40.0,40.0,40.0,54.448790652259646,54.33668722033829,54.93316214628286
119,40.0,40.0,40.0,54.44756531236004,54.34006367636708,54.92443567310594
120,40.0,40.0,40.0,54.44641805441796,54.34301910216902,54.91686670625793
121,40.0,40.0,40.0,54.44534938145575,54.3455974315888,54.91030523039071
122,40.0,40.0,40.0,54.44435855321642,54.34783932789706,54.90461941624494
123,40.0,40.0,40.0,54.44344384484959,54.34978222661276,54.89969365354897
124,40.0,40.0,40.0,54.44260276904539,54.351460414226906,54.89542676108302
125,40.0,40.0,40.0,54.44183226554131,54.35290513637304,54.89173036248917
126,40.0,40.0,40.0,54.44112886161592,54.35414472940711,54.888527416670264
127,40.0,40.0,40.0,54.44048880688826,54.355204769827424,54.885750891908614
128,40.0,40.0,40.0,54.43990818546188,54.35610823647693,54.88334257315225
129,40.0,40.0,40.0,54.439383008189104,54.35687568101011,54.8812519922638
130,40.0,40.0,40.0,54.43890928758086,54.35752540265918,54.879435471406616
131,40.0,40.0,40.0,54.43848309765275,54.35807362388741,54.87785527015139
132,40.0,40.0,40.0,54.43810062077625,54.35853466405487,54.876478827323055
133,40.0,40.0,40.0,54.43775818339647,54.35892110873388,54.87527808906674
134,40.0,40.0,40.0,54.437452282283076,54.359243972788434,54.87422891508927
135,40.0,40.0,40.0,54.43717960279983,54.359512855769,54.87331055552205
136,40.0,40.0,40.0,54.43693703050943,54.3597360885652,54.872505191348004
137,40.0,40.0,40.0,54.4367216572746,54.359920870603105,54.871797531832605
138,40.0,40.0,40.0,54.436530782872964,54.36007339717237,54.87117446289219
139,40.0,40.0,40.0,54.436361913011694,54.36019897671886,54.870624740816375
140,40.0,40.0,40.0,54.43621275450849,54.360302138148526,54.87013872623145
141,40.0,40.0,40.0,54.436081208296656,54.360386728355294,54.86970815364407
142,40.0,40.0,40.0,54.43596536081503,54.36045600031909,54.869325932336565
143,40.0,40.0,40.0,54.4358634742555,54.36051269221774,54.86898597479458
144,40.0,40.0,40.0,54.43577397606359,54.36055909807115,54.86868304923222
145,40.0,40.0,40.0,54.43569544801896,54.36059713047952,54.868412653139266
146,40.0,40.0,40.0,54.43562661516184,54.360628376046876,54.86817090510824
147,40.0,40.0,40.0,54.43556633477964,54.360654144089494,54.86795445250574
148,40.0,40.0,40.0,54.435513585622004,54.36067550922502,54.86776039283428
149,40.0,40.0,40.0,54.4354674574739,54.36069334842381,54.86758620688653
150,40.0,40.0,40.0,54.435427141182885,54.36070837308134,54.867429702026584
151,40.0,40.0,40.0,54.435391919209046,54.36072115664058,54.86728896414184
152,40.0,40.0,40.0,54.43536115674262,54.36073215826164,54.86716231699685
153,40.0,40.0,40.0,54.435334293415096,54.36074174299969,54.8670482878882
154,40.0,40.0,40.0,54.43531083561393,54.36075019891575,54.86694557864826
155,40.0,40.0,40.0,54.43529034939869,54.36075775150769,54.866853041177336
156,40.0,40.0,40.0,54.435272454006395,54.36076457581261,54.866769656799846
157,40.0,40.0,40.0,54.43525681592631,54.360770806496504,54.86669451884188
158,40.0,40.0,40.0,54.4352431435192,54.36077654621397,54.866626817916064
159,40.0,40.0,40.0,54.43523118215179,54.36078187248802,54.86656582947726
160,40.0,40.0,40.0,54.435220709814516,54.36078684333218,54.86651090327929
161,40.0,40.0,40.0,54.435211533189914,54.3607915018094,54.86646145442068
162,40.0,40.0,40.0,54.435203484137475,54.36079587969688,54.86641695571695
163,40.0,40.0,40.0,54.43519641656168,54.36080000040454,54.86637693117954
164,40.0,40.0,40.0,54.43519020363049,54.360803881274336,54.866340950417396
165,40.0,40.0,40.0,54.435184735312575,54.36080753536899,54.8663086238082
166,40.0,40.0,40.0,54.43517991620314,54.360810972843865,54.86627959831203
167,40.0,40.0,40.0,54.43517566360992,54.36081420198039,54.866253553822084
168,40.0,40.0,40.0,54.43517190587283,54.36081722994777,54.866230199965536
169,40.0,40.0,40.0,54.435168580892295,54.36082006334868,54.86620927328289
170,40.0,40.0,40.0,54.43516563484372,54.36082270859532,54.86619053472678
171,40.0,40.0,40.0,54.43516302105701,54.36082517215391,54.86617376743187
172,40.0,40.0,40.0,54.4351606990421,54.36082746068925,54.86615877471615
173,40.0,40.0,40.0,54.4351586336434,54.36082958113485,54.866145378281125
174,40.0,40.0,40.0,54.43515679430726,54.36083154070866,54.86613341658403
175,40.0,40.0,40.0,54.43515515444878,54.36083334689137,54.86612274336029
176,40.0,40.0,40.0,54.43515369090526,54.36083500737931,54.866113226277996
177,40.0,40.0,40.0,54.43515238346517,54.36083653002275,54.866104745709315
178,40.0,40.0,40.0,54.43515121446283,54.360837922756545,54.86609719360659
179,40.0,40.0,40.0,54.43515016842991,54.360839193528676,54.86609047247246
180,40.0,40.0,40.0,54.4351492317963,54.36084035023117,54.86608449441507
181,44.0,40.0,40.0,54.43514839263341,54.360841400635735,54.86607918028101
182,44.0,40.0,40.0,54.485805768827454,54.36084235233628,54.86607445885922
183,44.0,40.0,40.0,54.529599139781425,54.36671830672856,54.86576308156515
184,44.0,40.0,40.0,54.5673410267555,54.37676090295042,54.8658723184685
185,44.0,40.0,40.0,54.59975600638421,54.38960046152431,54.866868715155334
186,61.0,40.0,40.0,54.62749305303851,54.40415688397539,54.86901964264186
187,61.0,40.0,40.0,54.86643139594953,54.41959206224004,54.872443826423996
188,88.0,44.0,40.0,55.073751510603756,54.4600793387994,54.87584648530147
189,88.0,44.0,40.0,55.595508968269385,54.517958508207286,54.88222935659615
190,88.0,44.0,40.0,56.05270693536248,54.62620591576021,54.89137168477253
191,99.0,44.0,40.0,56.45450638087255,54.76891582786915,54.909066762197064
192,105.0,44.0,40.0,56.94687924386834,54.93412212462316,54.93875719579577
193,105.0,44.0,40.0,57.45849100503942,55.12833119042588,54.98135474697658
194,105.0,44.0,40.0,57.91262003409757,55.349440080267385,55.03885242618844
195,105.0,99.0,40.0,58.31454909313865,55.58815843108343,55.11329652912259
196,105.0,99.0,44.0,58.668319345864774,55.83802064969532,55.20547901863192
197,105.0,99.0,44.0,58.97715117966426,56.09457890086037,55.31537259368582
198,105.0,99.0,44.0,59.243709005196436,56.35477811199077,55.44243427864122
199,105.0,105.0,44.0,59.47028038527659,56.61650093433772,55.585810506908444
200,105.0,105.0,44.0,59.658906470612635,56.87824700166196,55.74447197903674
201,105.0,105.0,61.0,59.811483002229636,57.138910482524665,55.9172998534204
202,120.0,105.0,61.0,59.92984170285552,57.397626748346354,56.10313876913559
203,120.0,105.0,88.0,60.20578478262941,57.65366655691007,56.300827499804996
204,120.0,105.0,88.0,60.439014875987425,57.92332949416301,56.50806269038067
205,120.0,105.0,88.0,60.63042735992874,58.204644771245995,56.72578626057372
206,120.0,105.0,99.0,60.78079247660452,58.49620393996659,56.954630507847384
207,120.0,105.0,105.0,60.89086981455252,58.797077569004216,57.19500927656263
208,120.0,105.0,105.0,60.96150249027581,59.106757883091475,57.447191031804806
209,120.0,120.0,105.0,60.99369477455224,59.42513028268769,57.71135847120541
210,120.0,120.0,105.0,60.98867343925626,59.75247622316968,57.9876592027094
211,120.0,120.0,105.0,60.94793084098256,60.08951138536494,58.276251892074136
212,120.0,120.0,105.0,60.87324640665214,60.43746622747943,58.577352347246375
213,40.0,120.0,105.0,60.76668256973795,60.79822126161619,58.8912844267231
214,40.0,120.0,105.0,59.617388611207936,61.17451785376309,59.218541634393745
215,40.0,120.0,105.0,58.5518245586565,61.49028800976191,59.56601079217167
216,40.0,120.0,105.0,57.60015581014113,61.74192136439939,59.924612558020655
217,40.0,120.0,120.0,56.778839912500196,61.921938612310896,60.28548279078792
218,40.0,120.0,120.0,56.09168812083278,62.018953957640946,60.63960297266985
219,40.0,120.0,120.0,55.532650786925714,62.017649246332155,60.97745266403647
220,40.0,40.0,120.0,55.08931531956404,61.89922540539877,61.288672898911194
221,40.0,40.0,120.0,54.7462112453826,61.64297888820039,61.5617887344034
222,40.0,40.0,120.0,54.48737750472142,61.22980448293015,61.784112995948846
223,40.0,40.0,120.0,54.29801907207188,60.64828844684382,61.942035597719716
224,40.0,40.0,120.0,54.165327096485086,59.90316377753322,62.02196021853002
225,40.0,40.0,120.0,54.07864524833677,59.0238395342262,62.01210093885637
226,40.0,40.0,120.0,54.02918987734356,58.067996770993545,61.905075064842706
227,40.0,40.0,120.0,54.009536935052424,57.11439215682233,61.700671458456185
228,40.0,40.0,40.0,54.01310126633309,56.24359459951833,61.407570552608796
229,40.0,40.0,40.0,54.033818488113084,55.51475643760939,61.04275619400327
230,40.0,40.0,40.0,54.066132472756316,54.951922695342944,60.628377689364186
231,40.0,40.0,40.0,54.10520691111176,54.54675532936284,60.18735478583812
232,40.0,40.0,40.0,54.14715492495096,54.27209412392304,59.73967534477751
233,40.0,40.0,40.0,54.18912324146062,54.09587615453802,59.300539037118
234,40.0,40.0,40.0,54.22920634799439,53.989533617516,58.880224906605186
235,40.0,40.0,40.0,54.266261255660694,53.930918642459176,58.484912481683175
236,40.0,40.0,40.0,54.29970261564054,53.90412123201813,58.117759250795764
237,40.0,40.0,40.0,54.32932486098308,53.898176182817394,57.77986370095533
