,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
0,1202.231572,-2566.40625,-125.0,84.0,1.9523938785424473,10.0,0.0,-18.92
1,1202.37745,-2566.40625,-125.0,86.0,4.627198878020229,10.0,0.0,4.339449541284404
2,1202.522189,-2566.40625,-125.0,87.0,8.35589612415189,10.0,0.0,5.031914893617022
3,1202.67391,-2566.40625,-125.0,89.0,11.822670814584935,10.0,0.0,17.51851851851852
4,1202.831758,-2566.40625,-125.0,87.0,14.716662504115497,10.0,0.0,-29.5625
5,1202.976664,-2566.40625,-125.0,88.0,17.59461824312067,10.0,0.0,4.73
6,1203.121949,-2566.40625,-125.0,87.0,20.48732212876588,10.0,0.0,5.031914893617022
7,1203.267068,-2566.40625,-125.0,86.0,23.175680683069473,10.0,0.0,-19.708333333333332
8,1203.411975,-2566.40625,-125.0,86.0,25.70314006103905,10.0,0.0,-43.0
9,1203.583917,-2566.40625,-125.0,84.0,28.110752145349576,10.0,0.0,5.141304347826087
10,1203.735214,-2566.40625,-125.0,86.0,30.413471754208334,10.0,0.0,7.754098360655738
11,1203.881414,-2566.40625,-125.0,90.0,32.68314940439722,10.0,0.0,4.73
12,1204.026159,-2566.40625,-125.0,86.0,34.925778534562724,10.0,0.0,-31.533333333333335
13,1204.171797,-2566.40625,-125.0,89.0,37.08941965031901,10.0,0.0,-52.55555555555556
14,1204.31648,-2566.40625,-125.0,86.0,39.118970403329286,10.0,0.0,4.504761904761905
15,1204.493529,-2566.40625,-125.0,88.0,41.05181672945886,10.0,0.0,473.0
16,1204.642315,-2566.40625,-125.0,84.0,42.88879555128845,10.0,0.0,6.064102564102564
17,1204.791034,-2566.40625,-125.0,87.0,44.61990839255828,10.0,0.0,-29.5625
18,1204.936648,-2566.40625,-125.0,89.0,46.31797978636351,10.0,0.0,4.261261261261262
19,1205.08448,-2566.40625,-125.0,86.0,47.99600862567285,10.0,0.0,26.27777777777778
20,1205.231223,-2566.40625,-125.0,84.0,49.56046609226298,10.0,0.0,-19.708333333333332
21,1205.402981,-2566.40625,-125.0,85.0,50.968674227352935,10.0,0.0,5.375
22,1205.549355,-2566.40625,-125.0,86.0,52.31731774679431,10.0,0.0,-13.13888888888889
23,1205.694272,-2566.40625,-125.0,88.0,53.70050550942222,10.0,0.0,7.059701492537314
24,1205.839024,-2566.40625,-125.0,84.0,55.04471478052559,10.0,0.0,3.877049180327869
25,1205.984055,-2566.40625,-125.0,86.0,56.280773771166174,10.0,0.0,24.894736842105264
26,1206.129283,-2566.40625,-125.0,88.0,57.46804904542906,10.0,0.0,-13.13888888888889
27,1206.300983,-2566.40625,-125.0,86.0,58.65774579922781,10.0,0.0,4.113043478260869
28,1206.447602,-2566.40625,-125.0,88.0,59.82873132055292,10.0,0.0,-11.261904761904763
29,1206.592564,-2566.40625,-125.0,88.0,60.947772629254544,10.0,0.0,14.78125
30,1206.737296,-2566.40625,-125.0,89.0,62.046868313232565,10.0,0.0,3.814516129032258
31,1206.882428,-2566.40625,-125.0,87.0,63.11603027784737,10.0,0.0,8.6
32,1207.027151,-2566.40625,-125.0,87.0,64.10351087814304,10.0,0.0,-11.825
33,1207.199639,-2566.40625,-125.0,88.0,65.02927082110322,10.0,0.0,3.784
34,1207.346575,-2566.40625,-125.0,87.0,65.93057869798263,10.0,0.0,-12.783783783783784
35,1207.491656,-2566.40625,-125.0,85.0,66.77769408104075,10.0,0.0,36.38461538461539
36,1207.636435,-2566.40625,-125.0,87.0,67.55392188057186,10.0,0.0,4.008474576271187
37,1207.781645,-2566.40625,-125.0,86.0,68.29452748418724,10.0,0.0,6.855072463768116
38,1207.92644,-2566.40625,-125.0,86.0,69.02396408608665,10.0,0.0,-12.783783783783784
39,1208.101077,-2566.40625,-125.0,85.0,69.70718209409297,10.0,0.0,4.37962962962963
40,1208.248108,-2566.40625,-125.0,82.0,70.29240553099743,10.0,0.0,-11.825
41,1208.393022,-2566.40625,-125.0,88.0,70.85147985797532,10.0,0.0,8.298245614035087
42,1208.537839,-2566.40625,-125.0,88.0,71.48048613254494,10.0,0.0,3.784
43,1208.68306,-2566.40625,-125.0,86.0,72.15047864398998,10.0,0.0,18.92
44,1208.82807,-2566.40625,-125.0,86.0,72.75285784253971,10.0,0.0,-11.536585365853659
