,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
0,3135.329254,-2566.40625,28.80859375,82.0,1.929444628457087,10.0,0.0,1.298913043478261
1,3135.485059,-2566.40625,36.1328125,83.0,4.528874864352612,10.0,0.0,1.2849462365591398
2,3135.639349,-2566.40625,38.57421875,80.0,8.091691673994383,10.0,0.0,1.2849462365591398
3,3135.794763,-2566.40625,38.57421875,79.0,11.272133664140638,10.0,0.0,1.2780748663101604
4,3135.950604,-2566.40625,36.1328125,79.0,13.811356950884306,10.0,0.0,1.2780748663101604
5,3136.104697,-2566.40625,38.57421875,80.0,16.362160237275617,10.0,0.0,1.2841823056300268
6,3136.249464,-2566.40625,36.1328125,80.0,19.002726019067744,10.0,0.0,1.2780748663101604
7,3136.399282,-2566.40625,36.1328125,81.0,21.49934697827142,10.0,0.0,1.2780748663101604
8,3136.543532,-2566.40625,36.1328125,78.0,23.84230765518803,10.0,0.0,1.2780748663101604
9,3136.687928,-2566.40625,36.1328125,79.0,26.06926890748268,10.0,0.0,1.2780748663101604
10,3136.831939,-2566.40625,36.1328125,81.0,28.218609086161123,10.0,0.0,1.2841823056300268
11,3136.976802,-2566.40625,38.57421875,79.0,30.307721604414926,10.0,0.0,1.2876344086021505
12,3137.12497,-2566.40625,36.1328125,80.0,32.321849896511345,10.0,0.0,1.2780748663101604
13,3137.285154,-2566.40625,36.1328125,79.0,34.22754197138328,10.0,0.0,1.2841823056300268
14,3137.431367,-2566.40625,36.1328125,78.0,36.02587570480122,10.0,0.0,1.2807486631016043
15,3137.575895,-2566.40625,36.1328125,80.0,37.75495868901676,10.0,0.0,1.2841823056300268
16,3137.721735,-2566.40625,36.1328125,81.0,39.45216979865837,10.0,0.0,1.2780748663101604
17,3137.869224,-2566.40625,36.1328125,82.0,41.142876642648645,10.0,0.0,1.2807486631016043
18,3138.013832,-2566.40625,38.57421875,83.0,42.813382157746425,10.0,0.0,1.2807486631016043
