,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
29,2851.562255,0.0,0.0,0.0,-0.34533515807061876,-2.7317035539198002,1.3292545312769546,17.0,75.0,72.0,64.0,65.0,64.0,9.0,9.0,9.0,175.0,0.0
30,2851.734823,0.0,0.0,0.0,-0.19695970236871263,-2.7166047668471975,1.0402728205606904,19.0,73.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,174.0,0.0
31,2851.894298,0.0,0.0,0.0,-0.31873462164619726,-2.77116897938528,0.8848793054889752,17.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,177.0,0.0
32,2852.05459,0.0,0.0,0.0,-0.48525827405563904,-2.814240856980433,0.7755254633710704,17.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,175.0,0.0
33,2852.215978,0.0,0.0,0.0,-0.6195225358945682,-3.159085180976433,0.5313350745286014,17.0,71.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,174.0,0.0
34,2852.398939,0.0,0.0,0.0,-0.7283997961519835,-3.5058215127096446,0.5321515067838787,17.0,71.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,176.0,0.0
35,2852.562403,0.0,0.0,0.0,-0.5068609138074938,-3.4762714774369528,0.3508359437781676,19.0,73.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,174.0,0.0
36,2852.722171,0.0,0.0,0.0,-0.10531186467093834,-3.075516428154387,0.15278898382650663,20.0,75.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,174.0,0.0
37,2852.880361,0.0,0.0,0.0,0.2529688798590324,-2.839635837414761,-0.007331370263490733,20.0,74.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,169.0,0.0
38,2853.040484,0.0,0.0,0.0,0.23323799495454933,-2.6826705586648245,0.01774553841687787,18.0,74.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,176.0,0.0
39,2853.214705,0.0,0.0,0.0,0.46060808905587036,-2.5546884223893755,-0.08363232381063046,20.0,74.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,176.0,0.0
40,2853.376208,0.0,0.0,0.0,0.5580990284688307,-2.760626707675044,-0.04486764060751103,19.0,72.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,168.0,0.0
41,2853.533559,0.0,0.0,0.0,0.6029720663272253,-2.68448746699832,0.09793268513049025,19.0,74.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,167.0,0.0
42,2853.690254,0.0,0.0,0.0,0.6398380831263064,-2.244837153819816,0.07506392162077002,19.0,76.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,176.0,0.0
43,2853.848226,0.0,0.0,0.0,0.5148915389682354,-1.8221538754186355,0.2553163071198652,18.0,76.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,175.0,0.0
44,2854.016939,0.0,0.0,0.0,0.22508053453006793,-1.9452080592167391,0.2972428876855515,17.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,173.0,0.0
45,2854.180435,0.0,0.0,0.0,0.11197780693118231,-1.9901490637475234,0.2196973122718502,18.0,74.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,176.0,0.0
