,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,J
0,2790.45387,0.0,0.0,0.0,-14.564842232561013,-40.04764544416697,-19.838983208977957,18.0,80.0,74.0,21.0,21.0,20.0,9.0,9.0,9.0,0.0
1,2790.602682,0.0,0.0,0.0,-11.703284208260037,-32.15349513297632,-16.318278696370495,19.0,81.0,70.0,28.0,29.0,27.0,9.0,9.0,9.0,0.0
2,2790.748583,0.0,0.0,0.0,-9.2006161417589,-25.941686463938424,-13.465275111410946,20.0,79.0,71.0,34.0,35.0,34.0,9.0,9.0,9.0,0.0
3,2790.906208,0.0,0.0,0.0,-7.446253968831496,-20.941055192613767,-11.138068682780592,18.0,79.0,71.0,39.0,40.0,38.0,9.0,9.0,9.0,0.0
4,2791.057158,0.0,0.0,0.0,-6.088054894907848,-16.49281762021368,-9.296848147907982,18.0,83.0,70.0,43.0,44.0,42.0,9.0,9.0,9.0,0.0
5,2791.203105,0.0,0.0,0.0,-4.828534669649284,-13.469261850056832,-7.811780007297848,19.0,76.0,70.0,47.0,47.0,46.0,9.0,9.0,9.0,0.0
6,2791.350971,0.0,0.0,0.0,-3.9268616432364576,-10.870602885743711,-6.406715046500064,18.0,79.0,74.0,50.0,50.0,49.0,9.0,9.0,9.0,0.0
7,2791.517111,0.0,0.0,0.0,-3.2282686766964295,-8.695152623619371,-5.123424167702178,18.0,79.0,76.0,52.0,53.0,52.0,9.0,9.0,9.0,0.0
8,2791.667594,0.0,0.0,0.0,-2.815224173328173,-6.832466187076278,-4.258786698664781,17.0,80.0,72.0,54.0,55.0,54.0,9.0,9.0,9.0,0.0
9,2791.837308,0.0,0.0,0.0,-2.202836372958809,-5.394930252794506,-3.649063750733576,19.0,79.0,71.0,55.0,56.0,55.0,9.0,9.0,9.0,0.0
10,2791.995212,0.0,0.0,0.0,-1.6381850533619766,-4.2480735045726,-3.2628474242743826,19.0,79.0,69.0,57.0,57.0,57.0,9.0,9.0,9.0,0.0
11,2792.140894,0.0,0.0,0.0,-1.3356067777928655,-3.4121639669187114,-2.7716683179185067,18.0,78.0,73.0,58.0,58.0,58.0,9.0,9.0,9.0,0.0
12,2792.286842,0.0,0.0,0.0,-1.4332771698498026,-2.8497599881231777,-2.4288487065818165,16.0,77.0,71.0,59.0,59.0,59.0,9.0,9.0,9.0,0.0
13,2792.432567,0.0,0.0,0.0,-1.4235412381758192,-2.413136291021892,-1.8747540061540713,17.0,77.0,77.0,60.0,60.0,59.0,9.0,9.0,9.0,0.0
14,2792.57868,0.0,0.0,0.0,-1.071036187460415,-1.7696817091976,-1.4100449650053999,19.0,80.0,76.0,60.0,61.0,60.0,9.0,9.0,9.0,0.0
15,2792.749046,0.0,0.0,0.0,-0.7185550510982215,-1.2811058350029723,-1.044264266600526,19.0,79.0,76.0,61.0,61.0,60.0,9.0,9.0,9.0,0.0
