,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,J
0,2560.129903,0.0,0.0,0.0,-9.598413691930437,-40.33596270578088,-19.739777269497903,16.0,77.0,76.0,21.0,21.0,20.0,9.0,9.0,9.0,0.0
1,2560.284545,0.0,0.0,0.0,-7.829455058673611,-32.64183491504751,-15.769958368941268,19.0,79.0,79.0,29.0,29.0,27.0,9.0,9.0,9.0,0.0
2,2560.430346,0.0,0.0,0.0,-6.240010128194426,-26.18633598620406,-12.725953326236827,20.0,81.0,75.0,34.0,35.0,33.0,9.0,9.0,9.0,0.0
3,2560.576129,0.0,0.0,0.0,-4.9300415494069725,-21.385945119690277,-10.347845664168812,20.0,76.0,74.0,39.0,40.0,38.0,9.0,9.0,9.0,0.0
4,2560.722157,0.0,0.0,0.0,-3.866246079547406,-17.685663004682144,-8.475132347813489,20.0,75.0,73.0,43.0,44.0,42.0,9.0,9.0,9.0,0.0
5,2560.880265,0.0,0.0,0.0,-3.002067701673322,-14.314062367961375,-6.864915410495087,20.0,79.0,75.0,47.0,47.0,46.0,9.0,9.0,9.0,0.0
6,2561.042625,0.0,0.0,0.0,-2.300012338431744,-11.684032676686131,-5.386480995694001,20.0,77.0,78.0,50.0,50.0,49.0,9.0,9.0,9.0,0.0
7,2561.193106,0.0,0.0,0.0,-0.28808486218620644,-9.878508399608279,-4.153832512204195,35.0,74.0,78.0,52.0,52.0,52.0,9.0,9.0,9.0,0.0
8,2561.339014,0.0,0.0,0.0,0.022097338324366333,-8.376979396991349,-3.103480724748347,18.0,75.0,79.0,54.0,55.0,54.0,9.0,9.0,9.0,0.0
9,2561.486301,0.0,0.0,0.0,0.10987052707025358,-7.231358637246045,-2.3884179222383413,20.0,74.0,76.0,55.0,56.0,55.0,9.0,9.0,9.0,0.0
10,2561.632403,0.0,0.0,0.0,0.13195355141351328,-6.513754128968666,-1.5420230445424252,19.0,72.0,82.0,57.0,57.0,57.0,9.0,9.0,9.0,0.0
11,2561.780542,0.0,0.0,0.0,0.22562534023569603,-5.683431138877273,-0.9387761689790706,20.0,75.0,79.0,58.0,58.0,58.0,9.0,9.0,9.0,0.0
12,2561.943913,0.0,0.0,0.0,0.22637220410540415,-5.234485751422737,-0.6305442280995885,19.0,72.0,76.0,59.0,59.0,59.0,9.0,9.0,9.0,0.0
13,2562.094367,0.0,0.0,0.0,0.013837065011697458,-4.740492429331602,-0.3620791676777846,17.0,74.0,77.0,60.0,60.0,60.0,9.0,9.0,9.0,0.0
14,2562.240089,0.0,0.0,0.0,0.08853890096314032,-4.200847406113014,0.2145798929341982,20.0,75.0,84.0,60.0,61.0,60.0,9.0,9.0,9.0,0.0
15,2562.396372,0.0,0.0,0.0,-0.0763748874704322,-3.646275741523518,0.36064844738339596,17.0,76.0,76.0,61.0,61.0,61.0,9.0,9.0,9.0,0.0
16,2562.548684,0.0,0.0,0.0,0.015032094586652445,-3.175621659574051,0.6903328589131115,20.0,76.0,82.0,61.0,62.0,61.0,9.0,9.0,9.0,0.0
17,2562.706831,0.0,0.0,0.0,0.05604329973577382,-2.8897833387160934,0.6762139079687768,19.0,75.0,75.0,62.0,62.0,61.0,9.0,9.0,9.0,0.0
18,2562.871557,0.0,0.0,0.0,-0.02832570691227998,-2.5821452689749105,0.5892743703644783,18.0,76.0,75.0,62.0,62.0,62.0,9.0,9.0,9.0,0.0
19,2563.019008,0.0,0.0,0.0,-0.11730766212749133,-2.4073110901323123,0.5198069074886051,18.0,75.0,75.0,62.0,63.0,62.0,9.0,9.0,9.0,0.0
20,2563.165685,0.0,0.0,0.0,-0.09303424735929244,-2.2862367533143018,0.3643836525146025,19.0,75.0,73.0,63.0,63.0,62.0,9.0,9.0,9.0,0.0
21,2563.312182,0.0,0.0,0.0,-0.052638694064623515,-1.9953500407016578,0.4648023948124136,19.0,77.0,78.0,63.0,63.0,63.0,9.0,9.0,9.0,0.0
22,2563.459667,0.0,0.0,0.0,1.6135920339302392,-1.8138131315177322,0.5008159447101659,36.0,76.0,76.0,63.0,63.0,63.0,9.0,9.0,9.0,0.0
23,2563.627855,0.0,0.0,0.0,1.3958336982877697,-1.4955190260640792,0.656664638248385,16.0,78.0,79.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
24,2563.783078,0.0,0.0,0.0,1.1842785437884993,-1.291505322379973,0.8154691677169055,20.0,77.0,79.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
25,2563.929474,0.0,0.0,0.0,1.1015887677700669,-1.243190704681176,0.7455616329065102,20.0,76.0,75.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
26,2564.075869,0.0,0.0,0.0,0.8418819822530192,-1.0321009055084605,0.7452846688683072,18.0,78.0,77.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
27,2564.222598,0.0,0.0,0.0,2.319147734964422,-1.0111111194909872,0.7671500996424174,36.0,76.0,77.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
28,2564.375407,0.0,0.0,0.0,2.3537845454484576,-0.9399320333557344,0.685425711542607,20.0,77.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
29,2564.546149,0.0,0.0,0.0,1.8528914186252192,-0.9569379190855574,0.647265802745228,18.0,76.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
30,2564.701712,0.0,0.0,0.0,1.6019794550015374,-0.9916421097949741,0.5777104962732116,20.0,76.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
31,2564.849844,0.0,0.0,0.0,1.2489380792526432,-1.0195292653035408,0.5600165753009332,18.0,76.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
32,2564.999155,0.0,0.0,0.0,0.9200696504848558,-1.2343340809635326,0.40764194557348654,18.0,74.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
33,2565.145561,0.0,0.0,0.0,0.7496487283740865,-1.2579049912737599,0.15253653867529904,19.0,76.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
34,2565.291741,0.0,0.0,0.0,0.6319569989802201,-1.2350319509938816,0.17255795911671612,19.0,76.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
35,2565.461613,0.0,0.0,0.0,0.34373970647552365,-1.2170984084144252,0.24254671302629482,17.0,76.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
36,2565.616675,0.0,0.0,0.0,0.06827596534969338,-1.1065447828766966,0.29847422465515105,17.0,77.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
37,2565.763545,0.0,0.0,0.0,1.6712626862486928,-1.2843973749298059,0.24456077119430564,36.0,74.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
38,2565.91243,0.0,0.0,0.0,1.7318667490179038,-1.395057341815574,0.22908737956449343,19.0,75.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
39,2566.05938,0.0,0.0,0.0,3.0569498032683713,-1.5593509216688333,0.27715665924206867,36.0,74.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
40,2566.205587,0.0,0.0,0.0,2.759716917498183,-1.4253494109354394,0.3763202081178312,18.0,77.0,77.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
41,2566.384029,0.0,0.0,0.0,2.2375866440063508,-1.0620755131884452,0.4176966826656008,19.0,79.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
42,2566.540289,0.0,0.0,0.0,1.9358863332420486,-1.1111770710755682,0.1924294576852934,20.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
43,2566.686905,0.0,0.0,0.0,1.6160337944843215,-1.042310380503771,0.15475847814253907,19.0,77.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
44,2566.833516,0.0,0.0,0.0,1.431070859010368,-0.7514573448328479,-0.0802580272958675,20.0,79.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
45,2566.980238,0.0,0.0,0.0,1.1095761945237128,-1.0510668224249986,-0.22587318894204156,18.0,73.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
46,2567.128387,0.0,0.0,0.0,0.8068123698811305,-1.2269516036488304,-0.27242425993115393,18.0,75.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
47,2567.291358,0.0,0.0,0.0,0.6576477438711823,-1.6147143148562733,-0.2006208023719136,19.0,72.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
48,2567.44242,0.0,0.0,0.0,0.46111003896142,-1.799843444988199,0.02754918593937372,18.0,74.0,78.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
49,2567.588842,0.0,0.0,0.0,0.3765229193148838,-1.90799849053891,0.04604460626901963,19.0,74.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
50,2567.736161,0.0,0.0,0.0,0.13655344199867958,-1.708120569011051,-0.13097155902089508,17.0,77.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
51,2567.885181,0.0,0.0,0.0,-0.003873504586993093,-1.7722875550614825,-0.15721390723634165,18.0,74.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
52,2568.031917,0.0,0.0,0.0,-0.09662905465476124,-1.5030060920699924,-0.29468923737343644,18.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
53,2568.205267,0.0,0.0,0.0,-0.2683512363740457,-1.3929485825854264,-0.38923943626825785,17.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
54,2568.366765,0.0,0.0,0.0,-0.33245439346914196,-1.4422369407943711,-0.3557047654682721,18.0,75.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
55,2568.523221,0.0,0.0,0.0,-0.45961661523352326,-1.5985013661422451,-0.505673145296373,17.0,74.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
56,2568.669163,0.0,0.0,0.0,-0.3916692544644338,-1.5533553503178283,-0.47212290717006944,19.0,76.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
57,2568.815044,0.0,0.0,0.0,1.338912443088204,-1.282790050768422,-0.6495538734300683,36.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
58,2568.972723,0.0,0.0,0.0,1.2688979776571816,-1.4068479162358039,-0.6491953594980533,17.0,74.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
59,2569.123885,0.0,0.0,0.0,1.0056691814545375,-1.3027155742924956,-0.65506189271508,19.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
60,2569.270218,0.0,0.0,0.0,0.8393735444354602,-1.250904560735246,-0.6711013343222296,19.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
61,2569.416635,0.0,0.0,0.0,0.8007627064641998,-1.6147758695894745,-0.783274006101724,20.0,72.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
62,2569.5635,0.0,0.0,0.0,0.5975446705158634,-1.5122037572032587,-0.7964498178228816,18.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
63,2569.709803,0.0,0.0,0.0,0.1986256805116544,-1.2280132951412908,-0.7854710669382485,16.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
64,2569.874718,0.0,0.0,0.0,0.1222960498495036,-1.170400682910653,-0.8264892194004416,19.0,76.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
65,2570.026766,0.0,0.0,0.0,-0.06915663235841807,-1.1655354099479376,-0.8705243405551983,17.0,76.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
66,2570.173303,0.0,0.0,0.0,0.02131635700842871,-1.5452612373276617,-0.8564914878483434,20.0,72.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
67,2570.319748,0.0,0.0,0.0,0.061193096882153686,-1.6478562488186403,-0.884018143601061,19.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
68,2570.466913,0.0,0.0,0.0,0.07195596507906465,-1.6678124468143947,-0.9172289211622049,19.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
69,2570.613375,0.0,0.0,0.0,-0.015205151507339476,-1.5888376815179412,-0.7456294782825035,18.0,76.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
70,2570.773744,0.0,0.0,0.0,-0.010463707700087976,-1.6003411104181187,-0.6131961168104638,19.0,75.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
71,2570.936554,0.0,0.0,0.0,-0.08171731827318673,-1.726775095804057,-0.5666432630409552,18.0,74.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
72,2571.087193,0.0,0.0,0.0,-0.16056055211970977,-1.5614834726696305,-0.5889903853661735,18.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
73,2571.233629,0.0,0.0,0.0,-0.22429613177849372,-1.5570743474994122,-0.617556448474252,18.0,75.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
74,2571.381907,0.0,0.0,0.0,-0.27601297930316715,-1.2114236139246264,-0.44213574314040205,18.0,79.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
75,2571.528605,0.0,0.0,0.0,-0.2219304019583146,-1.328024510322641,-0.45541515391848897,19.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
76,2571.68087,0.0,0.0,0.0,-0.25346521244923403,-1.6234018472571785,-0.5095838097916383,18.0,73.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
77,2571.843818,0.0,0.0,0.0,1.5259150136529722,-1.4979200252779001,-0.4041114350783799,37.0,77.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
78,2571.997199,0.0,0.0,0.0,1.6339336849815207,-1.601088252486472,-0.4351610221329021,19.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
79,2572.143738,0.0,0.0,0.0,1.4392867640183995,-1.5560895145769393,-0.4929363648817664,20.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
80,2572.289912,0.0,0.0,0.0,1.2114591688314273,-1.5734552985533443,-0.44016321904766764,19.0,75.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
81,2572.436114,0.0,0.0,0.0,1.1025690243652913,-1.512653646033389,-0.3262943858854852,20.0,76.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
82,2572.586677,0.0,0.0,0.0,2.572596011843414,-1.3462748394480486,-0.3227470664606198,36.0,77.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
83,2572.749508,0.0,0.0,0.0,2.5589806527869037,-0.9985703038719427,-0.49022112994474387,20.0,79.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
84,2572.899972,0.0,0.0,0.0,2.2116891680326893,-1.1557977328385038,-0.6578547881659098,20.0,74.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
85,2573.046336,0.0,0.0,0.0,1.7425368681596143,-1.2913886974107378,-0.7437952021223784,18.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
86,2573.192533,0.0,0.0,0.0,1.3211028854220463,-1.1869105835479414,-0.9020962743483416,18.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
87,2573.338836,0.0,0.0,0.0,1.0754495421957233,-1.0608644847678799,-0.85379267730581,19.0,77.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
88,2573.487399,0.0,0.0,0.0,0.9927386702484848,-1.24763120371264,-0.9203981345479271,20.0,74.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
89,2573.650387,0.0,0.0,0.0,0.8496803878453094,-1.4613538409820777,-0.8583672736828296,19.0,74.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
90,2573.815695,0.0,0.0,0.0,0.7123999574436579,-1.6338347120355325,-0.8251613741667918,19.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
91,2573.962867,0.0,0.0,0.0,0.6012073208007578,-1.773800775164843,-0.8093191671600928,19.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
92,2574.108942,0.0,0.0,0.0,0.6070413725239436,-1.5031095447581289,-0.7963500273457613,20.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
93,2574.255223,0.0,0.0,0.0,2.170098208615772,-1.7772988364226727,-0.9345820480756948,36.0,72.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
94,2574.406057,0.0,0.0,0.0,3.769679379855216,-1.5487232732897827,-0.9796292973336951,36.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
95,2574.568993,0.0,0.0,0.0,3.525394953453298,-1.4293881915464481,-1.0935481803956602,20.0,76.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
96,2574.719387,0.0,0.0,0.0,2.7076490984908204,-1.375621510402832,-1.257305000603351,17.0,76.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
97,2574.871557,0.0,0.0,0.0,2.2758906253732487,-1.043238089697484,-1.1526525693568148,20.0,79.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
98,2575.018641,0.0,0.0,0.0,1.9889920642603487,-1.1916813131247668,-1.1133327359728948,20.0,74.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
99,2575.16507,0.0,0.0,0.0,3.2925056672668807,-1.320489894809252,-1.2028490863702475,36.0,75.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
100,2575.314814,0.0,0.0,0.0,2.9515376044977852,-1.2105603343406708,-1.19741495178454,18.0,77.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
101,2575.481974,0.0,0.0,0.0,2.393234034746801,-1.3683938852988191,-1.0720303297172769,19.0,74.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,164.1800898693696
102,2575.637635,0.0,0.0,0.0,2.0623511063968705,-1.2710499622220084,-1.1476261964681727,20.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,154.26425047837787
103,2575.795467,0.0,0.0,0.0,1.814877058069057,-1.513453055675584,-1.1032804469102349,20.0,73.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,148.44839962160395
104,2575.952579,0.0,0.0,0.0,1.5171373093941452,-1.5055545678198896,-1.0345724166107857,19.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,147.93226897726586
105,2576.107991,0.0,0.0,0.0,1.2545907938146792,-1.5320186306096495,-0.8800158449468929,19.0,75.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,143.9563294514631
106,2576.281265,0.0,0.0,0.0,1.041684648293931,-1.2867278121408625,-0.7332547483276541,19.0,78.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,141.16341502038475
107,2576.445449,0.0,0.0,0.0,0.772667968811624,-1.1214751669712433,-0.7136078793665503,18.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,135.23996835447969
108,2576.600931,0.0,0.0,0.0,0.7256908926618162,-1.105014935886463,-0.6693988076858162,20.0,76.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,131.38241344191596
109,2576.756776,0.0,0.0,0.0,0.5369611601868427,-1.0159619887538438,-0.6720397943469107,18.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,130.80127063421338
110,2576.912669,0.0,0.0,0.0,0.24556462758416764,-1.0186336454731286,-0.6849762077237349,17.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,128.99805000429373
111,2577.079654,0.0,0.0,0.0,0.2771603692063378,-0.8495611733895232,-0.744929867864462,20.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,128.3426717909332
