,0,1,2,3,4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,1.0,1.0,0.20253513192751316,0.0,0.0
32,2.0,2.0,0.793732335844094,0.0,0.0
33,3.0,3.0,1.7256963302735744,0.20253513192751316,0.0
34,4.0,4.0,2.9229249349905677,0.793732335844094,0.0
35,5.0,5.0,4.288425808633574,1.7256963302735744,0.20253513192751316
36,6.0,6.0,5.7115741913664255,2.9229249349905677,0.793732335844094
37,7.0,7.0,7.077075065009431,4.288425808633574,1.7256963302735744
38,8.0,8.0,8.274303669726425,5.7115741913664255,2.9229249349905677
39,9.0,9.0,9.206267664155908,7.077075065009431,4.288425808633574
40,10.0,10.0,9.797464868072487,8.274303669726425,5.7115741913664255
41,11.0,11.0,10.0,9.206267664155908,7.077075065009431
42,12.0,12.0,9.797464868072488,9.797464868072487,8.274303669726425
43,13.0,13.0,9.206267664155906,10.0,9.206267664155908
44,14.0,14.0,8.274303669726425,9.797464868072488,9.797464868072487
45,15.0,15.0,7.077075065009436,9.206267664155906,10.0
